ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z
1,1.7463,54.2544,4.8577,4.5745,51.2064,2.8925
2,1.8852,25.9080,4.8577,4.5745,28.9560,2.8925
3,4.5745,63.3984,2.8925,4.5745,69.4944,2.8925
4,4.5745,69.4944,2.8925,10.6680,75.5879,2.7914
5,4.5745,10.6680,2.8925,10.6680,10.6680,1.0668
6,4.5745,28.9560,2.8925,10.6680,28.9560,1.0668
7,10.6680,63.3984,1.0668,10.6680,57.3024,1.0668
8,10.6680,75.5879,2.7914,16.7640,69.4944,1.0668
9,10.6680,16.7640,1.0668,10.6680,22.8600,1.0668
10,10.6680,10.6680,1.0668,10.6680,4.5745,2.7506
11,10.6680,4.5745,2.7506,16.7640,4.5745,2.7506
12,10.6680,45.1104,1.0668,10.6680,39.0144,1.0668
13,10.6680,39.0144,1.0668,16.7640,35.0520,1.0668
14,16.7640,10.6680,1.0668,10.6680,16.7640,1.0668
15,16.7640,4.5745,2.7506,22.8600,10.6680,1.0668
16,16.7640,35.0520,1.0668,16.7640,28.9560,1.0668
17,16.7640,28.9560,1.0668,10.6680,28.9560,1.0668
18,16.7640,51.2064,1.0668,16.7640,57.3024,1.0668
19,16.7640,57.3024,1.0668,10.6680,57.3024,1.0668
20,22.8600,69.4944,1.0668,16.7640,69.4944,1.0668
21,22.8600,39.0144,1.0668,16.7640,35.0520,1.0668
22,22.8600,35.0520,1.0668,28.9560,35.0520,1.0668
23,22.8600,22.8600,1.0668,16.7640,28.9560,1.0668
24,22.8600,51.2064,1.0668,16.7640,51.2064,1.0668
25,28.9560,75.5879,2.7914,28.9560,69.4944,1.0668
26,28.9560,28.9560,1.0668,35.0520,22.8600,1.0668
27,28.9560,4.5745,2.7506,22.8600,10.6680,1.0668
28,28.9560,57.3024,1.0668,22.8600,51.2064,1.0668
29,28.9560,51.2064,1.0668,35.0520,45.1104,1.0668
30,28.9560,45.1104,1.0668,22.8600,39.0144,1.0668
31,28.9560,22.8600,1.0668,28.9560,16.7640,1.0668
32,32.0040,78.4162,4.8577,28.9560,75.5879,2.7914
33,32.0040,1.7462,4.8577,28.9560,4.5745,2.7506
34,35.0520,39.0144,1.0668,35.0520,45.1104,1.0668
35,35.0520,22.8600,1.0668,28.9560,22.8600,1.0668
36,35.0520,10.6680,1.0668,28.9560,16.7640,1.0668
37,35.0520,4.5745,2.7506,32.0040,1.7462,4.8577
38,35.0520,57.3024,1.0668,28.9560,57.3024,1.0668
39,35.0520,63.3984,1.0668,28.9560,69.4944,1.0668
40,41.1480,39.0144,1.0668,41.1480,35.0520,1.0668
41,41.1480,28.9560,1.0668,41.1480,35.0520,1.0668
42,41.1480,10.6680,1.0668,35.0520,10.6680,1.0668
43,41.1480,63.3984,1.0668,41.1480,69.4944,1.0668
44,41.1480,51.2064,1.0668,35.0520,57.3024,1.0668
45,41.1480,69.4944,1.0668,47.2440,69.4944,1.0668
46,47.2440,45.1104,1.0668,51.2064,51.2064,1.0668
47,47.2440,28.9560,1.0668,51.2064,22.8600,1.0668
48,47.2440,10.6680,1.0668,51.2479,4.5644,2.7506
49,47.2440,57.3024,1.0668,51.2064,51.2064,1.0668
50,47.2440,69.4944,1.0668,51.2064,75.5879,2.7914
51,51.2032,63.4476,1.0668,47.2440,57.3024,1.0668
52,51.2064,16.7640,1.0668,47.2440,10.6680,1.0668
53,51.2064,22.8600,1.0668,51.2064,28.9560,1.0668
54,51.2064,39.0144,1.0668,47.2440,45.1104,1.0668
55,51.2064,75.5879,2.7914,57.3024,69.4944,1.0668
56,51.2064,28.9560,1.0668,57.3024,28.9560,1.0668
57,51.3679,45.1316,1.0668,47.2440,45.1104,1.0668
58,57.3024,16.7640,1.0668,63.3984,10.6680,1.0668
59,57.3024,45.1104,1.0668,51.3679,45.1316,1.0668
60,57.3024,35.0520,1.0668,57.3024,28.9560,1.0668
61,57.3024,51.2064,1.0668,63.3984,57.3024,1.0668
62,57.3024,69.4944,1.0668,51.2032,63.4476,1.0668
63,57.3024,10.6680,1.0668,51.2479,4.5644,2.7506
64,63.3984,10.6680,1.0668,57.3024,10.6680,1.0668
65,63.3984,39.0144,1.0668,57.3024,35.0520,1.0668
66,63.3984,57.3024,1.0668,63.3984,63.3984,1.0668
67,63.3984,69.4944,1.0668,63.3984,63.3984,1.0668
68,63.3984,22.8600,1.0668,69.4944,22.8600,1.0668
69,69.4944,4.5745,2.7506,69.4944,10.6680,1.0668
70,69.4944,45.1104,1.0668,69.4944,39.0144,1.0668
71,69.4944,57.3024,1.0668,75.5904,63.3984,1.0668
72,69.4944,75.5879,2.7914,72.5424,78.4162,4.8577
73,69.4944,22.8600,1.0668,75.5904,22.8600,1.0668
74,69.4944,39.0144,1.0668,69.4944,35.0520,1.0668
75,69.4944,35.0520,1.0668,75.5904,28.9560,1.0668
76,69.4944,16.7640,1.0668,75.5904,10.6680,1.0668
77,72.5424,1.7462,4.8577,75.5904,4.5745,2.7506
78,72.5424,78.4162,4.8577,75.5904,75.5879,2.7914
79,75.5904,4.5745,2.7506,81.6864,10.6680,1.0668
80,75.5904,51.2064,1.0668,81.6864,57.3024,1.0668
81,75.5904,69.4944,1.0668,75.5904,63.3984,1.0668
82,75.5904,22.8600,1.0668,69.4944,16.7640,1.0668
83,75.5904,28.9560,1.0668,75.5904,22.8600,1.0668
84,75.5904,10.6680,1.0668,69.4944,10.6680,1.0668
85,81.4719,45.3492,1.0668,75.5904,51.2064,1.0668
86,81.6864,10.6680,1.0668,87.7824,10.6680,1.0668
87,81.6864,57.3024,1.0668,87.7824,57.3024,1.0668
88,81.6864,69.4944,1.0668,75.5904,75.5879,2.7914
89,81.6864,28.9560,1.0668,75.5904,22.8600,1.0668
90,87.7824,10.6680,1.0668,93.8784,10.6680,1.0668
91,87.7824,35.0520,1.0668,81.6864,28.9560,1.0668
92,87.7824,39.0144,1.0668,93.8784,39.0144,1.0668
93,87.7824,57.3024,1.0668,93.8784,57.3024,1.0668
94,87.7824,69.4944,1.0668,81.6864,69.4944,1.0668
95,87.7824,22.8600,1.0668,93.8784,22.8600,1.0668
96,93.8784,10.6680,1.0668,93.8784,16.7640,1.0668
97,93.8784,16.7640,1.0668,99.9719,22.8600,2.8096
98,93.8784,28.9560,1.0668,93.8784,22.8600,1.0668
99,93.8784,57.3024,1.0668,99.9719,51.2064,2.8096
100,93.8784,63.3984,1.0668,87.7824,69.4944,1.0668
101,93.8784,39.0144,1.0668,93.8784,45.1104,1.0668
102,93.8784,45.1104,1.0668,99.9719,51.2064,2.8096
103,99.9719,22.8600,2.8096,102.8002,25.9080,4.8577
104,99.9719,28.9560,2.8096,93.8784,28.9560,1.0668
105,99.9719,51.2064,2.8096,102.8001,54.2544,4.8577
106,102.8002,25.9080,4.8577,99.9719,28.9560,2.8096
107,4.5745,63.3984,2.8925,10.6680,63.3984,1.0668
108,4.5745,10.6680,2.8925,10.6680,16.7640,1.0668
109,4.5745,51.2064,2.8925,10.6680,57.3024,1.0668
110,4.5745,51.2064,2.8925,10.6680,45.1104,1.0668
111,10.6680,63.3984,1.0668,16.7640,69.4944,1.0668
112,10.6680,22.8600,1.0668,16.7640,28.9560,1.0668
113,16.7640,10.6680,1.0668,22.8600,10.6680,1.0668
114,16.7640,35.0520,1.0668,22.8600,35.0520,1.0668
115,22.8600,69.4944,1.0668,28.9560,75.5879,2.7914
116,22.8600,22.8600,1.0668,28.9560,22.8600,1.0668
117,28.9560,35.0520,1.0668,35.0520,39.0144,1.0668
118,28.9560,35.0520,1.0668,28.9560,28.9560,1.0668
119,28.9560,57.3024,1.0668,28.9560,51.2064,1.0668
120,28.9560,51.2064,1.0668,28.9560,45.1104,1.0668
121,35.0520,39.0144,1.0668,41.1480,39.0144,1.0668
122,35.0520,22.8600,1.0668,41.1480,28.9560,1.0668
123,35.0520,10.6680,1.0668,35.0520,4.5745,2.7506
124,35.0520,57.3024,1.0668,35.0520,63.3984,1.0668
125,35.0520,63.3984,1.0668,41.1480,63.3984,1.0668
126,41.1480,39.0144,1.0668,47.2440,45.1104,1.0668
127,41.1480,28.9560,1.0668,47.2440,28.9560,1.0668
128,41.1480,10.6680,1.0668,47.2440,10.6680,1.0668
129,41.1480,63.3984,1.0668,47.2440,57.3024,1.0668
130,41.1480,51.2064,1.0668,47.2440,57.3024,1.0668
131,51.2064,16.7640,1.0668,57.3024,16.7640,1.0668
132,51.2064,16.7640,1.0668,51.2064,22.8600,1.0668
133,51.2064,39.0144,1.0668,57.3024,35.0520,1.0668
134,51.2064,51.2064,1.0668,57.3024,51.2064,1.0668
135,57.3024,45.1104,1.0668,63.3984,39.0144,1.0668
136,57.3024,69.4944,1.0668,63.3984,69.4944,1.0668
137,57.3024,28.9560,1.0668,63.3984,22.8600,1.0668
138,63.3984,10.6680,1.0668,69.4944,4.5745,2.7506
139,63.3984,39.0144,1.0668,69.4944,45.1104,1.0668
140,63.3984,57.3024,1.0668,69.4944,57.3024,1.0668
141,63.3984,69.4944,1.0668,69.4944,75.5879,2.7914
142,69.4944,4.5745,2.7506,72.5424,1.7462,4.8577
143,69.4944,45.1104,1.0668,75.5904,51.2064,1.0668
144,69.4944,57.3024,1.0668,75.5904,51.2064,1.0668
145,75.5904,75.5879,2.7914,75.5904,69.4944,1.0668
146,81.4719,45.3492,1.0668,87.7824,39.0144,1.0668
147,81.6864,28.9560,1.0668,87.7824,22.8600,1.0668
148,87.7824,35.0520,1.0668,93.8784,28.9560,1.0668
149,87.7824,35.0520,1.0668,87.7824,39.0144,1.0668
150,93.8784,57.3024,1.0668,93.8784,63.3984,1.0668
