ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Lengths(M)
0,29.120,75.740,2.903,31.840,78.264,4.746,4.143
1,29.133,69.318,1.067,34.875,63.575,1.067,8.121
2,22.610,69.494,1.067,17.014,69.494,1.067,5.596
3,16.591,69.668,1.116,10.841,75.415,2.742,8.290
4,10.429,63.398,1.139,4.814,63.398,2.821,5.861
5,10.495,57.129,1.119,4.747,51.379,2.841,8.311
6,16.764,57.052,1.067,16.764,51.456,1.067,5.596
7,4.421,51.372,2.999,1.900,54.089,4.751,4.099
8,10.668,44.860,1.067,10.668,39.264,1.067,5.596
9,10.878,38.878,1.067,16.554,35.188,1.067,6.771
10,17.014,35.052,1.067,22.610,35.052,1.067,5.596
11,16.587,28.779,1.067,10.845,23.037,1.067,8.121
12,10.429,28.956,1.139,4.814,28.956,2.821,5.861
13,4.426,28.787,3.001,2.034,26.077,4.749,4.015
14,10.668,22.610,1.067,10.668,17.014,1.067,5.596
15,23.110,22.860,1.067,28.706,22.860,1.067,5.596
16,28.956,22.610,1.067,28.956,17.014,1.067,5.596
17,34.875,23.037,1.067,29.133,28.779,1.067,8.121
18,41.148,29.206,1.067,41.148,34.802,1.067,5.596
19,28.956,29.206,1.067,28.956,34.802,1.067,5.596
20,28.706,35.052,1.067,23.110,35.052,1.067,5.596
21,35.302,39.014,1.067,40.898,39.014,1.067,5.596
22,34.875,45.287,1.067,29.133,51.030,1.067,8.121
23,28.956,50.956,1.067,28.956,45.360,1.067,5.596
24,29.206,57.302,1.067,34.802,57.302,1.067,5.596
25,22.610,51.206,1.067,17.014,51.206,1.067,5.596
26,35.229,57.126,1.067,40.971,51.383,1.067,8.121
27,23.037,39.191,1.067,28.779,44.934,1.067,8.121
28,41.325,63.222,1.067,47.067,57.479,1.067,8.121
29,41.398,69.494,1.067,46.994,69.494,1.067,5.596
30,47.377,69.698,1.125,51.074,75.384,2.734,6.970
31,51.380,75.415,2.742,57.129,69.668,1.116,8.290
32,57.125,69.318,1.067,51.381,63.624,1.067,8.089
33,47.379,57.513,1.067,51.068,63.237,1.067,6.810
34,51.070,50.997,1.067,47.380,45.320,1.067,6.771
35,57.479,51.383,1.067,63.222,57.126,1.067,8.121
36,63.398,57.552,1.067,63.398,63.148,1.067,5.596
37,69.671,57.126,1.067,75.414,51.383,1.067,8.121
38,63.398,69.244,1.067,63.398,63.648,1.067,5.596
39,69.659,75.740,2.903,72.378,78.264,4.746,4.143
40,75.590,63.648,1.067,75.590,69.244,1.067,5.596
41,75.590,69.735,1.135,75.590,75.347,2.723,5.833
