ID,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,Type,Start_Pillar,End_Pillar
1,28.9799,75.4783,2.9030,31.9220,78.2640,4.7460,Intercom,P121,P125
2,28.9799,69.4965,1.0670,35.0212,63.4148,1.0670,Normal,P112,P103
3,22.8369,69.4965,1.0670,16.7590,69.4965,1.0670,Normal,P111,P110
4,16.7590,69.4965,1.1160,10.6802,75.4783,2.7420,Normal,P110,P120
5,10.6802,63.4148,1.1390,4.6791,63.4148,2.8210,Normal,P102,P101
6,10.6802,57.2767,1.1190,4.6791,51.2651,2.8410,Normal,P90,P80
7,16.7590,57.2767,1.0670,16.7590,51.2651,1.0670,Normal,P91,P81
8,4.6791,51.2651,2.9990,1.9670,54.0895,4.7510,Intercom,P80,P89
9,10.6802,45.1066,1.0670,10.6802,39.0475,1.0670,Normal,P71,P62
10,10.6802,39.0475,1.0670,16.7590,35.0487,1.0670,Normal,P62,P55
11,16.7590,35.0487,1.0670,22.8369,35.0487,1.0670,Normal,P55,P56
12,16.7590,28.9179,1.0670,10.6802,22.9070,1.0670,Normal,P45,P31
13,10.6802,28.9179,1.1390,4.6791,28.9179,2.8210,Normal,P44,P43
14,4.6791,28.9179,3.0010,1.9670,25.9925,4.7490,Intercom,P43,P30
15,10.6802,22.9070,1.0670,10.6802,16.7456,1.0670,Normal,P31,P24
16,22.8369,22.9070,1.0670,28.9799,22.9070,1.0670,Normal,P32,P33
17,28.9799,22.9070,1.0670,28.9799,16.7456,1.0670,Normal,P33,P25
18,35.0212,22.9070,1.0670,28.9799,28.9179,1.0670,Normal,P34,P46
19,41.1624,28.9179,1.0670,41.1624,35.0487,1.0670,Normal,P47,P58
20,28.9799,28.9179,1.0670,28.9799,35.0487,1.0670,Normal,P46,P57
21,28.9799,35.0487,1.0670,22.8369,35.0487,1.0670,Normal,P57,P56
22,35.0212,39.0475,1.0670,41.1624,39.0475,1.0670,Normal,P64,P65
23,35.0212,45.1066,1.0670,28.9799,51.2651,1.0670,Normal,P73,P83
24,28.9799,51.2651,1.0670,28.9799,45.1066,1.0670,Normal,P83,P72
25,28.9799,57.2767,1.0670,35.0212,57.2767,1.0670,Normal,P92,P93
26,22.8369,51.2651,1.0670,16.7590,51.2651,1.0670,Normal,P82,P81
27,35.0212,57.2767,1.0670,41.1624,51.2651,1.0670,Normal,P93,P84
28,22.8369,39.0475,1.0670,28.9799,45.1066,1.0670,Normal,P63,P72
29,41.1624,63.4148,1.0670,47.2353,57.2767,1.0670,Normal,P104,P94
30,41.1624,69.4965,1.0670,47.2353,69.4965,1.0670,Normal,P113,P114
31,47.2353,69.4965,1.1250,51.2516,75.4783,2.7340,Normal,P114,P122
32,51.2516,75.4783,2.7420,57.2837,69.4965,1.1160,Normal,P122,P115
33,57.2837,69.4965,1.0670,51.2516,63.4148,1.0910,Normal,P115,P105
34,47.2353,57.2767,1.0670,51.2516,63.4148,1.0910,Normal,P94,P105
35,51.2516,51.2651,1.0670,47.2353,45.1066,1.0670,Normal,P85,P74
