ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z
0,16.76,4.57,0,22.86,4.57,0
1,10.67,10.67,0,16.76,4.57,0
2,10.67,16.76,0,10.67,10.67,0
3,4.57,22.86,0,10.67,16.76,0
4,10.67,16.76,0,16.76,22.86,0
5,16.76,22.86,0,22.86,22.86,0
6,16.76,22.86,0,16.76,28.96,0
7,10.67,28.96,0,4.57,22.86,0
8,16.76,35.05,0,10.67,28.96,0
9,16.76,28.96,0,16.76,35.05,0
10,16.76,35.05,0,10.67,39.01,0
11,10.67,39.01,0,16.76,45.11,0
12,16.76,45.11,0,16.76,51.21,0
13,16.76,45.11,0,22.86,39.01,0
14,22.86,39.01,0,22.86,35.05,0
15,22.86,35.05,0,28.96,35.05,0
16,28.96,35.05,0,28.96,39.01,0
17,28.96,39.01,0,35.05,45.11,0
18,35.05,45.11,0,35.05,51.21,0
19,35.05,51.21,0,28.96,57.30,0
20,28.96,57.30,0,22.86,57.30,0
21,16.76,51.21,0,22.86,57.30,0
22,16.76,51.21,0,10.67,57.30,0
23,10.67,57.30,0,16.76,63.40,0
24,16.76,63.40,0,16.76,69.49,0
25,16.76,69.49,0,22.86,69.49,0
26,22.86,69.49,0,28.96,75.59,0
27,28.96,75.59,0,35.05,75.59,0
28,22.86,69.49,0,28.96,63.40,0
29,28.96,57.30,0,28.96,63.40,0
30,35.05,51.21,0,41.15,57.30,0
31,41.15,57.30,0,41.15,63.40,0
32,41.15,63.40,0,47.24,69.49,0
33,47.24,69.49,0,41.15,69.49,0
34,35.05,75.59,0,41.15,69.49,0
35,47.24,69.49,0,51.21,63.40,0
36,51.21,63.40,0,57.30,63.40,0
37,57.30,63.40,0,57.30,69.49,0
38,57.30,69.49,0,63.40,69.49,0
39,63.40,69.49,0,69.49,69.49,0
40,69.49,69.49,0,75.59,63.40,0
41,75.59,63.40,0,81.69,69.49,0
42,81.69,69.49,0,81.69,75.59,0
43,81.69,69.49,0,87.78,69.49,0
44,87.78,69.49,0,93.88,63.40,0
45,93.88,63.40,0,87.78,57.30,0
46,87.78,57.30,0,87.78,51.21,0
47,87.78,51.21,0,93.88,45.11,0
48,81.69,51.21,0,75.59,51.21,0
49,75.59,51.21,0,75.59,57.30,0
50,75.59,57.30,0,69.49,63.40,0
51,75.59,63.40,0,69.49,63.40,0
52,69.49,63.40,0,63.40,57.30,0
53,63.40,57.30,0,57.30,57.30,0
54,57.30,57.30,0,51.21,51.21,0
55,41.15,57.30,0,47.24,57.30,0
56,51.21,51.21,0,47.24,57.30,0
57,51.21,51.21,0,47.24,45.11,0
58,47.24,45.11,0,47.24,39.01,0
59,47.24,39.01,0,41.15,35.05,0
60,41.15,35.05,0,35.05,39.01,0
61,35.05,45.11,0,35.05,39.01,0
62,28.96,35.05,0,35.05,28.96,0
63,22.86,22.86,0,28.96,28.96,0
64,22.86,22.86,0,22.86,16.76,0
65,22.86,16.76,0,28.96,10.67,0
66,22.86,4.57,0,28.96,10.67,0
67,28.96,10.67,0,35.05,16.76,0
68,35.05,28.96,0,35.05,22.86,0
69,35.05,22.86,0,41.15,16.76,0
