Edge ID,Edge Length,Start X,Start Y,Start Z,End X,End Y,End Z,Data Flow Start Node ID,Data Flow End Node ID,Type
1,6.10,16.76,4.57,0.0,22.86,4.57,0.0,2,1,Normal
2,8.62,10.67,10.67,0.0,16.76,4.57,0.0,3,1,Normal
3,6.09,10.67,16.76,0.0,10.67,10.67,0.0,3,4,Normal
4,8.63,4.57,22.86,0.0,10.67,16.76,0.0,3,4,Normal
5,8.62,10.67,16.76,0.0,16.76,22.86,0.0,3,4,Normal
6,6.10,16.76,22.86,0.0,22.86,22.86,0.0,59,7,Normal
7,6.10,16.76,22.86,0.0,16.76,28.96,0.0,6,8,Normal
8,8.63,10.67,28.96,0.0,4.57,22.86,0.0,5,9,Normal
9,8.61,16.76,35.05,0.0,10.67,28.96,0.0,5,9,Normal
10,6.09,16.76,28.96,0.0,16.76,35.05,0.0,10,8,Normal
11,7.26,16.76,35.05,0.0,10.67,39.01,0.0,12,11,Normal
12,8.62,10.67,39.01,0.0,16.76,45.11,0.0,12,11,Normal
13,6.10,16.76,45.11,0.0,16.76,51.21,0.0,13,12,Normal
14,8.63,16.76,45.11,0.0,22.86,39.01,0.0,14,12,Normal
15,3.96,22.86,39.01,0.0,22.86,35.05,0.0,15,14,Normal
16,6.10,22.86,35.05,0.0,28.96,35.05,0.0,14,15,Normal
17,3.96,28.96,35.05,0.0,28.96,39.01,0.0,16,17,Normal
18,8.62,28.96,39.01,0.0,35.05,45.11,0.0,18,17,Normal
19,6.10,35.05,45.11,0.0,35.05,51.21,0.0,19,18,Normal
20,8.61,35.05,51.21,0.0,28.96,57.3,0.0,19,20,Normal
21,6.10,28.96,57.3,0.0,22.86,57.3,0.0,19,20,Normal
22,8.62,16.76,51.21,0.0,22.86,57.3,0.0,13,21,Normal
23,8.61,16.76,51.21,0.0,10.67,57.3,0.0,13,12,Normal
24,8.62,10.67,57.3,0.0,16.76,63.4,0.0,24,23,Normal
25,6.09,16.76,63.4,0.0,16.76,69.49,0.0,24,23,Normal
26,6.10,16.76,69.49,0.0,22.86,69.49,0.0,24,25,Normal
27,8.63,22.86,69.49,0.0,28.96,75.59,0.0,26,25,Normal
28,6.09,28.96,75.59,0.0,35.05,75.59,0.0,26,27,Normal
29,8.62,22.86,69.49,0.0,28.96,63.4,0.0,28,25,Normal
30,6.10,28.96,57.3,0.0,28.96,63.4,0.0,28,20,Normal
31,8.62,35.05,51.21,0.0,41.15,57.3,0.0,19,29,Normal
32,6.10,41.15,57.3,0.0,41.15,63.4,0.0,31,30,Normal
33,8.61,41.15,63.4,0.0,47.24,69.49,0.0,31,30,Normal
