ID,start_X,start_Y,start_Z,end_X,end_Y,end_Z,Edge_Length
1,1.746300,54.254400,4.857700,4.572006,51.206398,2.892500,4.597493
2,1.885200,25.908000,4.857700,4.571999,28.955999,2.892500,4.513446
3,4.571999,63.398399,2.892500,4.571999,69.494400,2.892500,6.096001
4,4.571999,69.494400,2.892500,10.667999,75.590401,2.791400,8.621640
5,4.571999,10.668001,2.892500,10.667999,10.667999,1.066800,6.363521
6,4.571999,28.955999,2.892500,10.667999,28.956001,1.066800,6.363521
7,10.667999,63.398399,1.066800,10.667999,57.302399,1.066800,6.096001
8,10.667999,75.590401,2.791400,16.764000,69.494400,1.066800,8.791854
9,10.667999,16.764000,1.066800,10.667999,22.860003,1.066800,6.096003
10,10.667999,10.667999,1.066800,10.667999,4.572001,2.750600,6.324269
11,10.667999,4.572001,2.750600,16.764000,4.572001,2.750600,6.096001
12,10.668007,45.110401,1.066800,10.668007,39.014400,1.066800,6.096001
13,10.668007,39.014400,1.066800,16.764000,35.052002,1.066800,7.270607
14,16.764000,10.668000,1.066800,10.667999,16.764000,1.066800,8.621046
15,16.764000,4.572001,2.750600,22.860001,10.667999,1.066800,8.783940
16,16.764000,35.052002,1.066800,16.764000,28.955999,1.066800,6.096003
17,16.764000,28.955999,1.066800,10.667999,28.956001,1.066800,6.096001
18,16.764000,51.206402,1.066800,16.763992,57.302399,1.066800,6.095997
19,16.763992,57.302399,1.066800,10.667999,57.302399,1.066800,6.095993
20,22.860001,69.494400,1.066800,16.764000,69.494400,1.066800,6.096001
21,22.860001,39.014400,1.066800,16.764000,35.052002,1.066800,7.270614
22,22.860001,35.052002,1.066800,28.956001,35.051998,1.066800,6.096001
23,22.860001,22.860001,1.066800,16.764000,28.955999,1.066800,8.621045
24,22.860008,51.206402,1.066800,16.764000,51.206402,1.066800,6.096008
25,28.955994,75.590401,2.791400,28.955994,69.494408,1.066800,6.335249
26,28.956001,28.955999,1.066800,35.052002,22.860001,1.066800,8.621045
27,28.956001,4.572001,2.750600,22.860001,10.667999,1.066800,8.783940
28,28.955994,57.302399,1.066800,22.860008,51.206402,1.066800,8.621033
29,28.956001,51.206402,1.066800,35.052006,45.110401,1.066800,8.621050
30,28.956001,45.110401,1.066800,22.860001,39.014400,1.066800,8.621047
31,28.956001,22.860001,1.066800,28.956001,16.764000,1.066800,6.096001
32,32.004000,78.416200,4.857700,28.955994,75.590401,2.791400,4.641668
33,32.004000,1.746200,4.857700,28.956001,4.572001,2.750600,4.659969
34,35.052006,39.014400,1.066800,35.052006,45.110401,1.066800,6.096001
35,35.052002,22.860001,1.066800,28.956001,22.860001,1.066800,6.096001
36,35.052002,10.667999,1.066800,28.956001,16.764000,1.066800,8.621047
37,35.052002,4.572001,2.750600,32.004000,1.746200,4.857700,4.659972
38,35.052006,57.302399,1.066800,28.955994,57.302399,1.066800,6.096012
39,35.052006,63.398399,1.066800,28.955994,69.494408,1.066800,8.621060
40,41.147999,39.014400,1.066800,41.147999,35.052002,1.066800,3.962399
41,41.148003,28.955999,1.066800,41.147999,35.052002,1.066800,6.096003
42,41.147999,10.668000,1.066800,35.052002,10.667999,1.066800,6.095997
43,41.147999,63.398399,1.066800,41.147999,69.494408,1.066800,6.096008
44,41.147999,51.206402,1.066800,35.052006,57.302399,1.066800,8.621039
45,41.147999,69.494408,1.066800,47.243999,69.494408,1.066800,6.096001
46,47.243999,45.110401,1.066800,51.206402,51.206402,1.066800,7.270616
47,47.244003,28.955999,1.066800,51.206402,22.860001,1.066800,7.270612
48,47.243999,10.667999,1.066800,51.206402,4.572001,2.750600,7.463043
49,47.243999,57.302399,1.066800,51.206402,51.206402,1.066800,7.270613
50,47.243999,69.494408,1.066800,51.206398,75.590401,2.791400,7.472348
51,51.206402,63.398399,1.066800,47.243999,57.302399,1.066800,7.270616
52,51.206402,16.764000,1.066800,47.243999,10.667999,1.066800,7.270616
53,51.206402,22.860001,1.066800,51.206406,28.955999,1.066800,6.095999
54,51.206402,39.014400,1.066800,47.243999,45.110401,1.066800,7.270616
55,51.206398,75.590401,2.791400,57.302399,69.494400,1.066800,8.791854
56,51.206406,28.955999,1.066800,57.302402,28.955999,1.066800,6.095997
57,51.206402,45.110401,1.066800,47.243999,45.110401,1.066800,3.962402
58,57.302399,16.764000,1.066800,63.398399,10.667999,1.066800,8.621047
59,57.302399,45.110401,1.066800,51.206402,45.110401,1.066800,6.095997
60,57.302399,35.052002,1.066800,57.302402,28.955999,1.066800,6.096003
61,57.302399,51.206402,1.066800,63.398399,57.302399,1.066800,8.621044
62,57.302399,69.494400,1.066800,51.206402,63.398399,1.066800,8.621044
63,57.302399,10.668000,1.066800,51.206402,4.572001,2.750600,8.783938
64,63.398399,10.667999,1.066800,57.302399,10.668000,1.066800,6.096001
65,63.398399,39.014400,1.066800,57.302399,35.052002,1.066800,7.270614
66,63.398399,57.302399,1.066800,63.398399,63.398399,1.066800,6.096001
67,63.398399,69.494400,1.066800,63.398399,63.398399,1.066800,6.096001
68,63.398399,22.860003,1.066800,69.494400,22.860001,1.066800,6.096001
69,69.494400,4.572001,2.750600,69.494400,10.668000,1.066800,6.324270
70,69.494400,45.110401,1.066800,69.494400,39.014400,1.066800,6.096001
71,69.494400,57.302399,1.066800,75.590408,63.398403,1.066800,8.621055
72,69.494400,75.590401,2.791400,72.542400,78.416200,4.857700,4.641664
