Length_m,Length_Adjusted_m,,Total_Count,Length_m,Length_Adjusted_m,
# Node Circumference: 0.80m (subtracted from Length to get Length_Adjusted),,,,# Node Circumference: 0.80m (subtracted from Length to get Length_Adjusted),,
3.96,3.16,3.15,4,3.96,3.16,3.15
4.51,3.71,3.85,1,4.51,3.71,3.85
4.60,3.80,3.85,1,4.60,3.80,3.85
4.63,3.83,3.85,3,4.63,3.83,3.85
4.64,3.84,3.85,3,4.64,3.84,3.85
4.66,3.86,3.85,4,4.66,3.86,3.85
6.10,5.30,5.30,60,6.10,5.30,5.30
6.32,5.52,5.50,3,6.32,5.52,5.50
6.34,5.54,5.50,3,6.34,5.54,5.50
6.36,5.56,5.50,3,6.36,5.56,5.50
7.27,6.47,6.47,11,7.27,6.47,6.47
7.46,6.66,6.65,1,7.46,6.66,6.65
7.47,6.67,6.65,1,7.47,6.67,6.65
8.62,7.82,7.80,36,8.62,7.82,7.80
8.78,7.98,8,5,8.78,7.98,8
8.79,7.99,8,5,8.79,7.99,8
8.80,8.00,8,3,8.80,8.00,8
8.81,8.01,8,3,8.81,8.01,8
